Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ExecuteTestReport,,,2018-10-30 17:53:04,2018-10-30 17:53:27,"23,129s",PASSED
,,,,,,
Test Cases/GetTestReports/showTestReports,,,2018-10-30 17:53:07,2018-10-30 17:53:26,"19,159s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-10-30 17:53:08,2018-10-30 17:53:09,"0,531s",PASSED
Statement - fileName = CustomKeywords.readGmail.getGmail.getGmailAttachment(),,,2018-10-30 17:53:09,2018-10-30 17:53:23,"13,939s",PASSED
"Statement - println(""**************DEBUG returned filename *************** "" + fileName)",,,2018-10-30 17:53:23,2018-10-30 17:53:23,"0,011s",PASSED
readGmail.unZip.unzipFile,,,2018-10-30 17:53:23,2018-10-30 17:53:24,"0,436s",PASSED
"Statement - zip = fileName.substring(0, 29)",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,015s",PASSED
"Statement - println(""*********DEBUG zipfile*******"" + zip)",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,045s",PASSED
"Statement - path = java.nio.file.Paths.get(""."").toAbsolutePath().normalize().toString()",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,256s",PASSED
"Statement - path = path.replace(""\"", ""/"")",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,024s",PASSED
"Statement - url = path + ""/extractedFiles/"" + zip + ""/Report.html""",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,110s",PASSED
"Statement - println(""*********DEBUG url*******"" + url)",,,2018-10-30 17:53:24,2018-10-30 17:53:24,"0,015s",PASSED
readGmail.openWebHtml.openHtmlPage,,,2018-10-30 17:53:24,2018-10-30 17:53:26,"1,961s",PASSED
Start listener action : sampleAfterTestCase,,,2018-10-30 17:53:26,2018-10-30 17:53:26,"0,097s",PASSED
