Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-06 15:54:17,2018-04-06 15:55:03,"45,901s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-06 15:54:19,2018-04-06 15:55:02,"43,029s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-06 15:54:20,2018-04-06 15:54:20,"0,428s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-06 15:54:21,2018-04-06 15:54:34,"12,943s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-06 15:54:34,2018-04-06 15:54:49,"15,056s",PASSED
click,Chrome 65.0.3325.181,,2018-04-06 15:54:49,2018-04-06 15:54:51,"1,561s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-06 15:54:51,2018-04-06 15:55:00,"9,084s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 15:55:00,2018-04-06 15:55:00,"0,065s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-06 15:55:00,2018-04-06 15:55:00,"0,002s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 15:55:00,2018-04-06 15:55:00,"0,008s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-06 15:55:00,2018-04-06 15:55:00,"0,017s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-06 15:55:00,2018-04-06 15:55:02,"2,174s",PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-06 15:55:02,2018-04-06 15:55:02,"0,110s",PASSED
