Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ExecuteTestReport,,,2018-04-06 14:15:23,2018-04-06 14:15:43,"20,386s",PASSED
,,,,,,
Test Cases/GetTestReports/showTestReports,,,2018-04-06 14:15:25,2018-04-06 14:15:41,"16,171s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-04-06 14:15:25,2018-04-06 14:15:25,"0,225s",PASSED
Statement - fileName = CustomKeywords.readGmail.getGmail.getGmailAttachment(),,,2018-04-06 14:15:26,2018-04-06 14:15:37,"11,164s",PASSED
"Statement - println(""**************DEBUG returned filename *************** "" + fileName)",,,2018-04-06 14:15:37,2018-04-06 14:15:37,"0,026s",PASSED
readGmail.unZip.unzipFile,,,2018-04-06 14:15:37,2018-04-06 14:15:40,"2,791s",PASSED
"Statement - zip = fileName.substring(0, 15)",,,2018-04-06 14:15:40,2018-04-06 14:15:40,"0,001s",PASSED
"Statement - path = java.nio.file.Paths.get(""."").toAbsolutePath().normalize().toString()",,,2018-04-06 14:15:40,2018-04-06 14:15:40,"0,198s",PASSED
"Statement - path = path.replace(""\"", ""/"")",,,2018-04-06 14:15:40,2018-04-06 14:15:40,"0,000s",PASSED
"Statement - url = path + ""/extractedFiles/"" + zip + ""/Report.html""",,,2018-04-06 14:15:40,2018-04-06 14:15:40,"0,014s",PASSED
readGmail.openWebHtml.openHtmlPage,,,2018-04-06 14:15:40,2018-04-06 14:15:41,"1,076s",PASSED
Start listener action : sampleAfterTestCase,,,2018-04-06 14:15:41,2018-04-06 14:15:41,"0,064s",PASSED
