Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-06 16:16:51,2018-04-06 16:17:41,"50,305s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-06 16:16:54,2018-04-06 16:17:40,"46,145s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-06 16:16:54,2018-04-06 16:16:54,"0,570s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-06 16:16:56,2018-04-06 16:17:06,"10,436s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-06 16:17:06,2018-04-06 16:17:26,"19,699s",PASSED
click,Chrome 65.0.3325.181,,2018-04-06 16:17:26,2018-04-06 16:17:29,"3,709s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-06 16:17:29,2018-04-06 16:17:36,"6,154s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 16:17:36,2018-04-06 16:17:36,"0,132s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-06 16:17:36,2018-04-06 16:17:36,"0,003s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 16:17:36,2018-04-06 16:17:36,"0,009s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-06 16:17:36,2018-04-06 16:17:36,"0,012s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-06 16:17:36,2018-04-06 16:17:39,"3,399s",PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-06 16:17:39,2018-04-06 16:17:40,"0,282s",PASSED
