Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 68.0.3440.106,,2018-09-08 08:25:06,2018-09-08 08:25:49,"42,426s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 68.0.3440.106,,2018-09-08 08:25:10,2018-09-08 08:25:48,"38,008s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-08 08:25:11,2018-09-08 08:25:11,"0,505s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-08 08:25:13,2018-09-08 08:25:25,"11,982s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-08 08:25:25,2018-09-08 08:25:40,"14,972s",PASSED
click,Chrome 68.0.3440.106,,2018-09-08 08:25:40,2018-09-08 08:25:41,"1,227s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 68.0.3440.106,,2018-09-08 08:25:41,2018-09-08 08:25:47,"5,955s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 68.0.3440.106,,2018-09-08 08:25:47,2018-09-08 08:25:47,"0,079s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 68.0.3440.106,,2018-09-08 08:25:47,2018-09-08 08:25:47,"0,001s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 68.0.3440.106,,2018-09-08 08:25:47,2018-09-08 08:25:47,"0,014s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 68.0.3440.106,,2018-09-08 08:25:47,2018-09-08 08:25:47,"0,039s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-08 08:25:47,2018-09-08 08:25:48,"1,371s",PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-08 08:25:48,2018-09-08 08:25:48,"0,030s",PASSED
