Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-07 08:36:47,2018-04-07 08:38:17,"1m - 30,418s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-07 08:36:49,2018-04-07 08:38:17,"1m - 27,223s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-07 08:36:50,2018-04-07 08:36:50,"0,174s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-07 08:36:51,2018-04-07 08:37:04,"12,087s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-07 08:37:04,2018-04-07 08:38:03,"59,073s",PASSED
click,Chrome 65.0.3325.181,,2018-04-07 08:38:03,2018-04-07 08:38:06,"3,036s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-07 08:38:06,2018-04-07 08:38:13,"7,307s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-07 08:38:13,2018-04-07 08:38:13,"0,223s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-07 08:38:13,2018-04-07 08:38:13,"0,200s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-07 08:38:13,2018-04-07 08:38:14,"0,124s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-07 08:38:14,2018-04-07 08:38:14,"0,156s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-07 08:38:14,2018-04-07 08:38:16,"2,596s",PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-07 08:38:17,2018-04-07 08:38:17,"0,015s",PASSED
