Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-06 09:30:04,2018-04-06 09:31:37,"1m - 33,766s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-06 09:30:06,2018-04-06 09:31:37,"1m - 31,353s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-06 09:30:06,2018-04-06 09:30:06,"0,447s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-06 09:30:07,2018-04-06 09:30:19,"11,374s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-06 09:30:19,2018-04-06 09:31:22,"1m - 3,536s",PASSED
click,Chrome 65.0.3325.181,,2018-04-06 09:31:22,2018-04-06 09:31:24,"2,365s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-06 09:31:24,2018-04-06 09:31:31,"6,062s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 09:31:31,2018-04-06 09:31:31,"0,124s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-06 09:31:31,2018-04-06 09:31:31,"0,004s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 09:31:31,2018-04-06 09:31:31,"0,013s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-06 09:31:31,2018-04-06 09:31:31,"0,018s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-06 09:31:31,2018-04-06 09:31:32,"1,413s",PASSED
Start tear down : tearDownTestCase,Chrome 65.0.3325.181,,2018-04-06 09:31:32,2018-04-06 09:31:37,"4,934s",PASSED
