Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-06 13:06:23,2018-04-06 13:07:13,"49,894s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-06 13:06:25,2018-04-06 13:07:12,"47,399s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-06 13:06:25,2018-04-06 13:06:26,"0,425s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-06 13:06:26,2018-04-06 13:06:38,"11,434s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-06 13:06:38,2018-04-06 13:06:55,"17,303s",PASSED
click,Chrome 65.0.3325.181,,2018-04-06 13:06:55,2018-04-06 13:06:57,"1,664s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-06 13:06:57,2018-04-06 13:07:07,"10,189s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 13:07:07,2018-04-06 13:07:07,"0,070s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-06 13:07:07,2018-04-06 13:07:07,"0,005s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 13:07:07,2018-04-06 13:07:07,"0,012s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-06 13:07:07,2018-04-06 13:07:07,"0,018s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-06 13:07:07,2018-04-06 13:07:12,"5,227s",PASSED
