Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 65.0.3325.181,,2018-04-06 09:24:04,2018-04-06 09:25:13,"1m - 8,863s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 65.0.3325.181,,2018-04-06 09:24:06,2018-04-06 09:25:13,"1m - 6,863s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-06 09:24:06,2018-04-06 09:24:06,"0,220s",PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-06 09:24:07,2018-04-06 09:24:20,"13,154s",PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-06 09:24:20,2018-04-06 09:25:04,"43,398s",PASSED
click,Chrome 65.0.3325.181,,2018-04-06 09:25:04,2018-04-06 09:25:05,"1,379s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 65.0.3325.181,,2018-04-06 09:25:05,2018-04-06 09:25:11,"5,712s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 09:25:11,2018-04-06 09:25:11,"0,219s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 65.0.3325.181,,2018-04-06 09:25:11,2018-04-06 09:25:11,"0,031s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 65.0.3325.181,,2018-04-06 09:25:11,2018-04-06 09:25:11,"0,040s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 65.0.3325.181,,2018-04-06 09:25:11,2018-04-06 09:25:11,"0,092s",PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-06 09:25:11,2018-04-06 09:25:13,"1,537s",PASSED
