Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ExecuteTestReport,,,2018-04-06 14:13:13,2018-04-06 14:13:26,"12,918s",ERROR
,,,,,,
Test Cases/GetTestReports/showTestReports,,,2018-04-06 14:13:15,2018-04-06 14:13:26,"10,846s",ERROR
Start listener action : sampleBeforeTestCase,,,2018-04-06 14:13:15,2018-04-06 14:13:15,"0,155s",PASSED
Statement - fileName = CustomKeywords.readGmail.getGmail.getGmailAttachment(),,,2018-04-06 14:13:16,2018-04-06 14:13:25,"9,687s",PASSED
"Statement - println(""**************DEBUG returned filename *************** "" + fileName)",,,2018-04-06 14:13:25,2018-04-06 14:13:25,"0,032s",PASSED
readGmail.unZip.unzipFile,,,2018-04-06 14:13:25,2018-04-06 14:13:25,"0,155s",PASSED
"Statement - zip = fileName.substring(0, 15)",,,2018-04-06 14:13:25,2018-04-06 14:13:25,"0,002s",PASSED
"Statement - path = java.nio.file.Paths.get(""."").toAbsolutePath().normalize().toString()",,,2018-04-06 14:13:25,2018-04-06 14:13:25,"0,047s",PASSED
"Statement - path = path.replace(""\"", ""/"")",,,2018-04-06 14:13:25,2018-04-06 14:13:25,"0,003s",PASSED
"Statement - url = path + ""/extractedFiles/"" + zip + ""/Report.html""",,,2018-04-06 14:13:25,2018-04-06 14:13:26,"0,026s",PASSED
readGmail.openWebHtml.openHtmlPage,,,2018-04-06 14:13:26,2018-04-06 14:13:26,"0,368s",ERROR
Start listener action : sampleAfterTestCase,,,2018-04-06 14:13:26,2018-04-06 14:13:26,"0,045s",PASSED
