Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 69.0.3497.100,,2018-10-30 17:48:37,2018-10-30 17:49:30,"53,181s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 69.0.3497.100,,2018-10-30 17:48:40,2018-10-30 17:49:29,"48,691s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-30 17:48:40,2018-10-30 17:48:41,"0,534s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 17:48:43,2018-10-30 17:48:56,"13,727s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 17:48:56,2018-10-30 17:49:14,"17,543s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 17:49:14,2018-10-30 17:49:16,"1,628s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 69.0.3497.100,,2018-10-30 17:49:16,2018-10-30 17:49:26,"10,057s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 69.0.3497.100,,2018-10-30 17:49:26,2018-10-30 17:49:26,"0,075s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 69.0.3497.100,,2018-10-30 17:49:26,2018-10-30 17:49:26,"0,009s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 69.0.3497.100,,2018-10-30 17:49:26,2018-10-30 17:49:26,"0,004s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 69.0.3497.100,,2018-10-30 17:49:26,2018-10-30 17:49:26,"0,087s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-30 17:49:26,2018-10-30 17:49:28,"2,578s",PASSED
Start listener action : sampleAfterTestCase,Chrome 69.0.3497.100,,2018-10-30 17:49:29,2018-10-30 17:49:29,"0,404s",PASSED
